Location,Lat,Lon
"BH (Bharuch),Gujarat",21.7051,72.9959
"BNHT (BANNIHATI)Bellary,Karnataka",15.1394,76.9214
"BRGT (BHERAGHAT),Jabalpur,MP",23.1276,79.7957
"BVH (BALLABGARH)Faridabad,Haryana",28.351,77.318
"CAR (CHUNAR),Mirzapur,UP",25.127,82.8839
CCMH-PFT CONCOR(Raipur),21.2514,81.6296
CDG (Chandigarh),30.7333,76.7794
"CGMV (PFT- VARNAMA ),Vadora,Gujarat",22.308,73.1914
"CGPT (PFT-TIHI (M.P.),Mhow,Indore,MP",22.5536,75.821
"CJ (Kanchipuram),TN",12.8342,79.7036
"CCJS (PFT CONCOR) Visakhapatnam,AP",17.6868,83.2185
"CMCN (PFT-NAGALAPALLE),Medak,AP",17.6122,78.1543
"CMLK (Concor Green Field Neermana) Ateli, HR",27.8891,76.283
CTCS(Concor Terminal-Shalimar) Kolkata WB,22.5565,88.3191
"DDL(Dandri Kalan)Ludhiana,Punjab",30.9005,75.8573
"DKAE (DANKUNI),Kolkata,WB",22.6646,88.3073
"DPMT (Hyderabad),Telengana",17.385,78.4867
"ICDD(Dadri), Delhi NCR",28.5324,77.5531
"ICDK(ICD kanapura),Jaipur,Rajasthan",26.9124,75.7873
"ICDP(Inland container depot Dapper) Chandigarh, Punjab",30.7333,76.7794
ICDW (Bengaluru) Karnataka,12.9716,77.5946
"IGCS(Irugur), Tamil Nadu",11.0183,77.0128
"GSPR (Gosalpur),Jabalpur,MP",23.2822,80.0038
"GZB (Ghaziabad),UP",28.6692,77.4538
"JAB (Yamuna Bridge),Agra,UP",27.1767,78.0081
"GFPA(M/s.Punjab Logistics Infrastructure Ltd.,Ahmedgarh),Punjab",30.6952,75.9731
"KAV (Kalamna),Nagpur,MH",21.1466,79.0888
"KKF (KANKARIA),Ahemedabad,Gujarat",23.0225,72.5714
"KKU (Kanakpura ),Jaipur,Rajasthan",26.9124,75.7873
"KRIR (KHARI ROAD) Ahemdebad,Gujarat",23.0225,72.5714
"KOKG (Korukkupet),TN",13.1015,80.2852
"KSV (KOSI KALAN),Mathura,UP",27.794,77.4387
"KTIG(TISCO SDG KALAMBOLI ,Mumbai),Maharashtra",19.0319,73.0771
LMNR(Laxmi Nagar) Indore.MP,22.7196,75.8577
"MBL ( Manubolu,) Andhara",14.1946,79.8936
"NK (NASIK ROAD),MH",19.9975,73.7898
"NGC (New Guwahati Goods Shed),Assam",26.1445,91.7362
"PCWD (DP WORLD, PANIPAT), HR",29.3901,76.9635
"PIDN (NAMLI) ,Ratlam,MP",23.334,75.0366
"PLMD (Pilamedu),Coimbatore,TN",11.0183,76.9725
"PLIN (PFT- Nalgonda),Telengana",17.0544,79.2684
PRI -Pathri(MALU ELECTRODES -HARIDWAR),29.8585,78.546
"PNKD (Panki Dham), Kanpur, UP",26.4499,80.3319
"RSD (RAIPUR),CG",21.2514,81.6296
"SGBB (Bhilai Marshalling Yard) Bhilai, CG",21.1938,81.3509
"SGTY (Sankrail Goods),Kolkata,WB",22.5646,88.3012
"SNF (Sanathnagar ,Hyderabad)",17.4369,78.448
"SGWF (Whitefield Satellite Goods Terminal) Bangalore,Karnataka",12.9698,77.7499
"STD (Satrod), Hissar, HR",29.1518,75.722
"SUW(Sukhisewaniyan),Bhopal,MP",23.2844,77.3438
"TPGY (TIRUCHIRAPALLI GOODS) Tiruchirapalli, Tamil Nadu",10.7905,78.7047
"VZP (Visakhapatnam Port),Visakhapatnam,AP",17.6868,83.2185
"WML (Bedeshwar Windmill),Jamnagar,Gujarat",22.4797,70.0577
