Stockyard,location,Customer,Distance,Stockyard_coordinates,Customer_coordinates
ANGUL,Orissa,ROURKELA,220.8489,"20.8444, 85.1511","22.2604, 84.8536"
ANGUL,Orissa,SUNDARGARH,241.5823,"20.8444, 85.1511","22.1163, 84.0412"
ANGUL,Orissa,TALCHER,20.6673,"20.8444, 85.1511","20.95, 85.2333"
ANGUL,Orissa,ANGUL,0.0,"20.8444, 85.1511","20.8444, 85.1511"
ANGUL,Orissa,PATRATU,448.6541,"20.8444, 85.1511","23.5971, 85.2793"
ANGUL,Orissa,RAMGARH,478.0347,"20.8444, 85.1511","23.632, 85.5606"
BH,"(Bharuch), Gujarat",SURAT,72.37780000000001,"21.7051, 72.9959","21.1702, 72.8311"
BH,"(Bharuch), Gujarat",BHARUCH,0.0,"21.7051, 72.9959","21.7051, 72.9959"
BNHT,"(BANNIHATI) Bellary, Karnataka",UDUPI,385.8071,"15.1394, 76.9214","13.3409, 74.7421"
BNHT,"(BANNIHATI) Bellary, Karnataka",BELLARY,0.0,"15.1394, 76.9214","15.1394, 76.9214"
BNHT,"(BANNIHATI) Bellary, Karnataka",DHARWAD,230.9413,"15.1394, 76.9214","15.4589, 75.0078"
BNHT,"(BANNIHATI) Bellary, Karnataka",HOSPET,65.093,"15.1394, 76.9214","15.2833, 76.395"
BNHT,"(BANNIHATI) Bellary, Karnataka",KANNADA,278.2117,"15.1394, 76.9214","16.92, 75.6756"
BNHT,"(BANNIHATI) Bellary, Karnataka",VIJAYANAGARA,28.4688,"15.1394, 76.9214","15.3366, 76.7984"
BNHT,"(BANNIHATI) Bellary, Karnataka",DONABANDA,181.4496,"15.1394, 76.9214","15.9055, 78.1127"
BVH,"(BALLABGARH) Faridabad, Haryana",GURGAON,42.917,"28.351, 77.318","28.4595, 77.0266"
BVH,"(BALLABGARH) Faridabad, Haryana",FARIDABAD,10.5733,"28.351, 77.318","28.4089, 77.3178"
CAR,"(CHUNAR), Mirzapur, UP",PT.DEEN DYAL UPADHYAYA,26.8332,"25.127, 82.8839","25.2682, 83.0207"
CAR,"(CHUNAR), Mirzapur, UP",SONBHADRA,60.7501,"25.127, 82.8839","24.6896, 83.0684"
CAR,"(CHUNAR), Mirzapur, UP",VARANASI,37.7847,"25.127, 82.8839","25.3176, 82.9739"
CCJS,"(PFT CONCOR) Visakhapatnam, AP",KONAKANCHI,47.0536,"17.6868, 83.2185","18.0111, 83.274"
CCJS,"(PFT CONCOR) Visakhapatnam, AP",VISAKHAPATNAM,0.0,"17.6868, 83.2185","17.6868, 83.2185"
CCJS,"(PFT CONCOR) Visakhapatnam, AP",VIZAG,0.0,"17.6868, 83.2185","17.6868, 83.2185"
CCMH-PFT,CONCOR(Raipur),RAIGARH,239.0413,"21.2514, 81.6296","21.8893, 83.3966"
CCMH-PFT,CONCOR(Raipur),PUNJIPATHRA RAIGARH,241.1661,"21.2514, 81.6296","21.8961, 83.3833"
CCMH-PFT,CONCOR(Raipur),RAIPUR,0.0,"21.2514, 81.6296","21.2514, 81.6296"
CDG,(Chandigarh),AMBALA,45.0346,"30.7333, 76.7794","30.3782, 76.7767"
CDG,(Chandigarh),MOHALI,9.9382,"30.7333, 76.7794","30.6799, 76.7221"
CDG,(Chandigarh),YAMUNA NAGAR,100.8461,"30.7333, 76.7794","30.129, 77.2674"
CDG,(Chandigarh),RAJPURA,41.0611,"30.7333, 76.7794","30.4785, 76.5941"
CGMV,"(PFT- VARNAMA ), Vadora, Gujarat",VADODARA,1.4593,"22.308, 73.1914","22.3072, 73.1812"
CGMV,"(PFT- VARNAMA ), Vadora, Gujarat",KARAMSAD,46.3574,"22.308, 73.1914","22.5446, 72.9031"
CGMV,"(PFT- VARNAMA ), Vadora, Gujarat",HALOL,41.935,"22.308, 73.1914","22.5031, 73.4724"
CGPT,"(PFT-TIHI (M.P.), Mhow, Indore, MP",KHARGONE,108.1836,"22.5536, 75.821","21.8256, 75.6148"
CGPT,"(PFT-TIHI (M.P.), Mhow, Indore, MP",PITHAMPUR,26.8503,"22.5536, 75.821","22.6245, 75.6212"
CGPT,"(PFT-TIHI (M.P.), Mhow, Indore, MP",DHAR,63.7972,"22.5536, 75.821","22.6013, 75.3025"
CJ ,"(Kanchipuram), TN",IRUNGATUKOTAI,35.051199999999994,"12.8342, 79.7036","12.8718, 79.9707"
